Poem Name,Poet,year,Source,Line,Metaphor present or not,count of the metaphor,metaphorical terms,The target domain,The sorce domain,Meaning
උපන්දින තිළිණය,ගාමිණි අබේසේකර,2006,සමරු සදෙස,කවි කල්පනා උල්පත දැන් සිඳීලා ද,yes,1,කවි කල්පනා උල්පත,කවි කල්පනා,උල්පත,the fountain of poetry thoughts
උපන්දින තිළිණය,ගාමිණි අබේසේකර,2006,සමරු සදෙස,පළ කළ විමතියට පිළිතුරු ලැබේ අද,no,0,,,,
උපන්දින තිළිණය,ගාමිණි අබේසේකර,2006,සමරු සදෙස,කෙතරම් කැපුනත් සෙනෙහස පිරි හද,no,0,,,,
උපන්දින තිළිණය,ගාමිණි අබේසේකර,2006,සමරු සදෙස,හඬන ට කෙනෙක් නැත්නම් කිරි එරේවිද,no,0,,,,
උපන්දින තිළිණය,ගාමිණි අබේසේකර,2006,සමරු සදෙස,යහගුණ පුරා ලැබ තෙරුවන් සරණ නිතින්,no,0,,,,
උපන්දින තිළිණය,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ආසිරි වාදය ද සැම දෙවිවරුන් වෙතින්,no,0,,,,
උපන්දින තිළිණය,ගාමිණි අබේසේකර,2006,සමරු සදෙස,පින්බර නෙළුම් මල ජීවන පොකුණ මතින්,yes,1,ජීවන පොකුණ,ජීවන ,පොකුණ,The pond of life
උපන්දින තිළිණය,ගාමිණි අබේසේකර,2006,සමරු සදෙස,රන්වන් ඉරක අරුණලු දැක පිපෙනු ඉතින්,no,0,,,,
උපන්දිනයට අදරින්,ගාමිණි අබේසේකර,2006,සමරු සදෙස,වසර ගණන සමග වැඩෙන සෙනෙහස ගසකින්,yes,1,සෙනෙහස ගසකින්,සෙනෙහස,ගසකින්,The tree of affection
උපන්දිනයට අදරින්,ගාමිණි අබේසේකර,2006,සමරු සදෙස,සසර පුරා සෙවන බෙදෙන කොළ අතු රැසකි,no,0,,,,
උපන්දිනයට අදරින්,ගාමිණි අබේසේකර,2006,සමරු සදෙස,තිසර යුවල මෙන් සතුටින් සාමය සුරැකී,no,0,,,,
උපන්දිනයට අදරින්,ගාමිණි අබේසේකර,2006,සමරු සදෙස,තුසර බිඳෙන් තෙමෙන පියුම් මඩ දිය වැළකී,no,0,,,,
උපන්දිනයට අදරින්,ගාමිණි අබේසේකර,2006,සමරු සදෙස,යහගුණ ජීවිතය සරසන මල් වැල්ය,yes,1,යහගුණ ජීවිතය සරසන මල් වැල්ය,යහගුණ,මල් වැල්ය,Good quaities are flower vines
උපන්දිනයට අදරින්,ගාමිණි අබේසේකර,2006,සමරු සදෙස,දරු සම්පත් එයින් රසවිඳින සමනලුය,yes,1,දරු සම්පත් එයින් රසවිඳින සමනලුය,දරු සම්පත් ,සමනලුය,Childen are the butterflies
උපන්දිනයට අදරින්,ගාමිණි අබේසේකර,2006,සමරු සදෙස,අද ලද උපන්දින නව යුගයක මුලය,no,0,,,,
උපන්දිනයට අදරින්,ගාමිණි අබේසේකර,2006,සමරු සදෙස,තව තව වැඩේවා සුව රුව ගුණ බලය,no,0,,,,
එක් වූ දිනය සමරන්මි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,හද කැප කෙරුණ සෙනෙහස නැමැති පරසතුයි,yes,1,සෙනෙහස නැමැති පර සතුයි,සෙනෙහස, පරසතුයි,Affection is the flower parasathu
එක් වූ දිනය සමරන්මි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,දිවි ඔපකරන ගුණදම් නැමැති මිණිමුතුයි,yes,1,ගුණදම් නැමැති මිණිමුතුයි,ගුණදම්,මිණිමුතුයි,Qualities are gems
එක් වූ දිනය සමරන්මි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,සුර සැප නැතත් සමගිය සතුට අප සතුයි,no,0,,,,
එක් වූ දිනය සමරන්මි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ඔබ ඉපදුනේ මා වෙනුවෙන්ම විය යුතුයි,no,0,,,,
එක් වූ දිනය සමරන්මි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,වසරින් වසර දළු මල් අතු රිකිලි දමා,no,0,,,,
එක් වූ දිනය සමරන්මි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,රුසිරෙන් වැනෙන සල්ගස යුගදිවිය තමා,yes,1,සල්ගස යුගදිවිය තමා,සල්ගස,යුගදිවිය ,Marrage life is a sal tree
එක් වූ දිනය සමරන්මි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ඉසුරින් නොපිරුණු සෙනෙහස නොමැත නිමා,no,0,,,,
එක් වූ දිනය සමරන්මි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,සසරින් එතෙර වන තුරු එය රකිමි මෙමා,no,0,,,,
එක් වූ දිනය සමරන්මි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,තුන් සරණත් දෙවි පිහිටත් එකට එතී,no,0,,,,
එක් වූ දිනය සමරන්මි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,දැන් අඩු නැතිව ඇත සම්පත් ඔබ කැමති,no,0,,,,
එක් වූ දිනය සමරන්මි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,පින්බර හදින් දුක් දොම්නස් කිසිදු නැති,no,0,,,,
එක් වූ දිනය සමරන්මි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,රන් මාවතක යා හැක සෙනෙහස නැමැති,yes,1,රන් මාවතක යා හැක සෙනෙහස නැමැති,සෙනෙහස,රන් මාවතක,Affection is a golden path
එක් වූ දිනය සමරන්මි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ගෙවෙන වසර නව වසරක උදෑසනයි,no,0,,,,
එක් වූ දිනය සමරන්මි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,නැගෙන පැතුම් යුගදිවි පා තැබූ දිනය,no,0,,,,
එක් වූ දිනය සමරන්මි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,මෙවුන් සිහින ටික ටික හෝ සැබෑ උනයි,no,0,,,,
එක් වූ දිනය සමරන්මි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,පිරෙන සතුට හද බඳුනක අමා පැනයි,yes,1,හද බඳුනක,හද ,බඳුනක,Heart is a bowl
එක් වූ දිනය සමරන්මි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,පිරෙන සතුට හද බඳුනක අමා පැනයි,yes,1,සතුට අමා පැනයි,සතුට ,අමා පැනයි,hapiness is a water from heaven
එක් වූ දිනය සමරන්මි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,පෙම්බර මගේ සුන්දරවී මගේ හදවත රජ කරවී,no,0,,,,
එක් වූ දිනය සමරන්මි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,සුන්දර ජීවිතය මැදින් අදර ගග ගල යාවි,yes,1,අදර ගග,අදර,ගග,love is a river
එක් වූ දිනය සමරන්මි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,කාලය ඉගිලිලා ගියා කදුලැලි ගග ගලා ගියා,yes,1,කදුලැලි ගග,කදුලැලි ,ගග,the river od tears
එක් වූ දිනය සමරන්මි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,සිතක පැතුම් බිදී ගිය ඇගේ වත මුනිවතට ගියා,no,0,,,,
එක් වූ දිනය සමරන්මි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ජිවිතේ අදුර මකා ගන්න නැද්ද හිත කොනකවත්,no,0,,,,
එක් වූ දිනය සමරන්මි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,නුබ විදින දුක් මදිද සංසර සාගරේ,yes,1,සංසර සාගරේ,සංසර ,සාගරේ,the ocean od sansaar
මිදුලේ තණකොළ,අරියවංශ රණවීර,1986,සම්මිශ්‍රණය,පෙර ගිරෙන් උදේ හිරු නැගෙත්,no,0,,,,
මිදුලේ තණකොළ,අරියවංශ රණවීර,1986,සම්මිශ්‍රණය,නුබ විලෙන් කලට වැසි වැටෙත්,yes,1,නුබ විලෙන්,නුබ ,විලෙන්,The sky is a lake
මිදුලේ තණකොළ,අරියවංශ රණවීර,1986,සම්මිශ්‍රණය,මිහිකුසේ දිවිය පිලිසිදෙත්,yes,1,මිහිකුසේ,මිහි,කුසේ,The earth is a womb
මිදුලේ තණකොළ,අරියවංශ රණවීර,1986,සම්මිශ්‍රණය,ලොවැ බලා දොරට නීති වැඩිත්,no,0,,,,
අනාථයෝ,සුමිත්‍ර තිලකරත්න,2014,මංගල පියවර,සිවු කොණ එකට යා කොට ගම් බිම් නැසුව,no,0,,,,
අනාථයෝ,සුමිත්‍ර තිලකරත්න,2014,මංගල පියවර,වැසි රකුසාට ඇත මුලු දෙරණම නතුව,yes,1,වැසි රකුසාට,වැසි ,රකුසාට,The rain is a monster
